id,name,phone_number,NEQ,address_id
1,Ward-Ryan,387-690-9857,9013567058,7
2,Homenick-Turcotte,641-116-9745,8754992963,327
3,Crooks-Jerde,601-337-8291,8774111579,262
4,Bauch Group,186-320-3218,5751292425,271
5,Metz LLC,518-355-1323,7502836710,155
6,Glover-Prosacco,504-700-6083,7909652687,66
7,Bogisich-Grady,715-502-9628,7952652603,388
8,Wuckert-Smitham,853-999-7357,5140896444,446
9,"Fahey, Lesch and Bins",856-825-4753,0721761787,189
10,"Lakin, Quigley and Herzog",857-132-1658,3575813957,315
11,"Erdman, Weimann and Hermiston",347-664-1429,4243429953,2
12,"Harvey, Jacobson and Fadel",924-729-8231,2197248303,370
13,Heaney-Stiedemann,385-140-2627,4027553712,390
14,"Bahringer, Crist and Lueilwitz",829-365-8151,1476690331,340
15,Hermann-Greenfelder,148-186-6179,0674552546,148
16,Zemlak Group,439-131-8371,1764929903,465
17,Ritchie-Leannon,552-884-3941,5483764835,315
18,Farrell-Steuber,694-818-6336,7258370472,254
19,"Kirlin, Mayert and West",548-268-3241,0035484410,277
20,"Sporer, Schowalter and Douglas",992-285-0260,5415714523,146
21,"Yost, Boyer and Maggio",228-206-6003,1085307262,194
22,Swaniawski-Christiansen,760-571-4794,9140107732,423
23,"Gleichner, Oberbrunner and Muller",992-606-4872,3354227626,189
24,"Conn, Bins and Weimann",801-156-7861,1155260877,15
25,"Barrows, Goodwin and Abshire",588-422-0954,1775992773,464
26,Heathcote Group,507-124-5092,7577697787,224
27,"Ortiz, Yost and Cummerata",478-763-4387,5680365804,424
28,Lesch-Upton,971-799-3625,6630761362,56
29,Kessler-Shields,122-696-6043,9774476544,21
30,"Rau, Bernhard and Greenholt",304-878-3240,4617991087,487
31,"Huel, Gottlieb and Leannon",804-915-1152,7390407285,151
32,"Fadel, Sanford and Jerde",863-720-9913,1195303942,250
33,Runolfsdottir-Krajcik,733-839-4670,1325038531,279
34,Ortiz-Conn,674-939-1122,7652850525,299
35,Batz LLC,193-512-4548,9770858561,16
36,Rath-Kris,786-184-8618,8266612598,164
37,Von-Mitchell,886-690-7194,9719665363,260
38,"Spencer, Vandervort and Skiles",806-521-9551,0197163333,339
39,"O'Conner, Bayer and Wiegand",476-497-5870,0494712490,129
40,"Waters, Vandervort and Dach",262-911-1819,1542642573,382
41,Jacobi-Powlowski,248-603-2386,1455370663,438
42,Hamill-Harris,596-903-8184,5064024067,30
43,"Terry, Heathcote and O'Reilly",149-959-5511,8858409549,300
44,"Littel, Kemmer and Emard",415-856-5960,2934403268,277
45,Herman Inc,651-287-9770,7451640942,40
46,"Miller, Zieme and Kuhic",564-854-3001,5908896358,226
47,Hagenes LLC,261-537-1930,4497143138,456
48,Pfannerstill and Sons,285-761-6251,9962362420,103
49,Dooley-Satterfield,796-694-2838,0352636538,481
50,"Maggio, Parisian and Mertz",984-799-2715,9838938231,439
